Ano;Mes;10_14  ;15_19 ;20_24  ;25_29 ;30_34 ;35_39  ;40_44 ;45_49  ;Total
1994;Janeiro;14;238;473;356;194;69;13;1;1358
1994;Fevereiro;11;233;396;338;161;72;18;1;1230
1994;Marco;10;319;491;406;208;72;13;3;1522
1994;Abril;8;279;449;380;198;79;19;2;1414
1994;Maio;9;303;500;382;210;76;24;2;1506
1994;Junho;13;268;430;335;219;95;21;3;1384
1994;Julho;8;252;478;353;211;59;25;1;1387
1994;Agosto;10;243;455;347;183;51;19;3;1311
1994;Setembro;6;255;473;342;194;65;15;2;1352
1994;Outubro;9;271;469;351;218;73;16;3;1410
1994;Novembro;8;242;456;349;198;66;9;1;1329
1994;Dezembro;5;289;495;388;172;61;15;2;1427
1995;Janeiro;13;323;492;368;199;69;21;1;1486
1995;Fevereiro;9;263;425;360;189;74;19;4;1343
1995;Marco;15;305;546;423;224;89;18;1;1621
1995;Abril;11;276;470;384;224;79;22;2;1468
1995;Maio;14;311;518;333;217;91;25;5;1514
1995;Junho;16;337;499;372;246;86;17;1;1574
1995;Julho;17;262;489;388;173;78;28;0;1435
1995;Agosto;8;288;421;364;228;99;16;2;1426
1995;Setembro;5;274;425;389;251;98;17;1;1460
1995;Outubro;16;275;438;381;173;87;17;1;1388
1995;Novembro;13;279;379;317;201;79;18;1;1287
1995;Dezembro;14;268;374;334;187;82;15;0;1274
1996;Janeiro;14;254;405;349;199;75;17;1;1314
1996;Fevereiro;8;240;377;331;172;56;17;2;1203
1996;Marco;10;285;468;385;217;78;17;2;1462
1996;Abril;11;308;426;346;194;91;20;1;1397
1996;Maio;19;317;451;350;189;80;22;2;1430
1996;Junho;14;256;385;368;182;68;19;1;1293
1996;Julho;12;272;421;334;211;84;13;0;1347
1996;Agosto;11;285;386;324;188;87;22;1;1304
1996;Setembro;6;260;415;320;163;79;17;1;1261
1996;Outubro;13;281;393;314;176;70;16;1;1264
1996;Novembro;13;245;370;251;169;61;20;0;1129
1996;Dezembro;14;255;399;300;149;70;16;1;1204
1997;Janeiro;11;248;406;273;188;61;14;1;1202
1997;Fevereiro;12;237;366;310;157;74;14;2;1172
1997;Marco;12;296;423;328;209;85;19;1;1373
1997;Abril;8;312;437;297;209;81;15;1;1360
1997;Maio;11;302;446;347;204;76;20;0;1406
1997;Junho;11;279;404;291;174;65;19;1;1244
1997;Julho;13;301;391;305;178;83;16;3;1290
1997;Agosto;16;317;356;321;193;82;18;1;1304
1997;Setembro;18;300;405;315;203;78;14;0;1333
1997;Outubro;11;263;364;300;209;105;9;1;1262
1997;Novembro;5;275;399;316;206;95;13;2;1311
1997;Dezembro;8;261;388;337;213;105;14;1;1327
1998;Janeiro;13;260;377;334;219;96;12;3;1314
1998;Fevereiro;6;216;292;242;154;81;11;1;1003
1998;Marco;10;323;461;363;198;82;15;0;1452
1998;Abril;17;310;446;329;238;100;19;2;1461
1998;Maio;21;311;452;358;252;107;13;2;1516
1998;Junho;9;284;440;356;210;100;14;2;1415
1998;Julho;15;307;416;343;266;98;22;2;1469
1998;Agosto;13;323;419;315;248;99;19;3;1439
1998;Setembro;15;291;406;339;259;115;17;0;1442
1998;Outubro;13;293;380;344;276;120;19;0;1445
1998;Novembro;3;245;348;293;182;82;17;0;1170
1998;Dezembro;9;228;334;284;181;71;5;0;1112
1999;Janeiro;15;268;361;329;201;91;17;0;1282
1999;Fevereiro;11;271;388;337;190;114;10;1;1322
1999;Marco;6;353;509;351;245;86;20;0;1570
1999;Abril;17;332;451;365;248;118;14;0;1545
1999;Maio;17;326;473;350;243;120;15;0;1544
1999;Junho;15;302;410;355;220;101;18;0;1421
1999;Julho;9;282;438;342;216;92;15;2;1396
1999;Agosto;21;302;390;332;198;82;7;0;1332
1999;Setembro;14;336;452;314;221;103;24;1;1465
1999;Outubro;10;294;404;294;199;87;11;1;1300
1999;Novembro;14;286;392;264;191;80;15;4;1246
1999;Dezembro;9;276;395;297;208;95;17;0;1297
2000;Janeiro;11;297;386;327;177;89;13;0;1300
2000;Fevereiro;12;258;360;290;187;69;13;1;1190
2000;Marco;11;344;445;358;234;105;17;1;1515
2000;Abril;13;294;429;314;188;93;20;1;1352
2000;Maio;19;306;455;332;218;110;17;3;1460
2000;Junho;17;316;402;312;223;94;15;0;1379
2000;Julho;12;294;440;307;203;88;13;1;1358
2000;Agosto;9;259;423;311;198;72;19;1;1292
2000;Setembro;14;296;402;305;187;77;15;2;1298
2000;Outubro;9;262;409;282;201;83;9;0;1255
2000;Novembro;12;238;323;274;172;65;12;1;1097
2000;Dezembro;11;245;374;278;219;75;14;2;1218
2001;Janeiro;10;249;373;278;169;73;14;1;1167
2001;Fevereiro;9;206;319;244;145;75;18;0;1016
2001;Marco;7;281;368;281;161;88;18;2;1206
2001;Abril;12;267;355;276;197;87;11;2;1207
2001;Maio;14;291;376;273;204;73;16;2;1249
2001;Junho;6;254;392;253;132;83;20;1;1141
2001;Julho;14;260;349;227;158;63;20;0;1091
2001;Agosto;15;253;344;293;181;84;16;2;1188
